"unique_ids","zip_codes","dates"
"91942DT","37918","02/11/2021"
"91943DT","37919","02/16/2021"
"91944DT","37920","02/16/2021"
"91945DT","37921","02/16/2021"
"91946DT","37922","02/17/2021"
"91947DT","37921","02/18/2021"
"91948DT","37931","02/18/2021"
"91949DT","37921","02/18/2021"
"91950DT","37918","02/18/2021"
"91951DT","37931","02/18/2021"
"91952DT","37914","02/18/2021"
"91953DT","37917","02/18/2021"
"91954DT","37917","02/18/2021"
"91955DT","37922","02/18/2021"
"91956DT","37721","02/19/2021"
"91957DT","37862","02/16/2021"
"91958DT","37921","02/22/2021"
"91959DT","37920","02/22/2021"
"91960DT","37909","02/17/2021"
"91961DT","37923","02/22/2021"
"91962DT","37920","02/22/2021"
"91963DT","37912","02/17/2021"
"91964DT","37921","02/17/2021"
"91965DT","37912","02/17/2021"
"91966DT","37912","02/17/2021"
"91967DT","37912","02/17/2021"
"91968DT","37912","02/19/2021"
"91969DT","37914","02/19/2021"
"91970DT","37922","02/23/2021"
"91971DT","37914","02/23/2021"
"91972DT","37921","02/23/2021"
"91973DT","37922","02/23/2021"
"91974DT","37922","02/23/2021"
"91975DT","37921","02/23/2021"
"91976DT","37923","02/23/2021"
"91977DT","37849","02/23/2021"
"91978DT","37921","02/23/2021"
"91979DT","37916","02/23/2021"
"91980DT","37934","02/18/2021"
"91981DT","37915","02/24/2021"
"91982DT","37921","02/24/2021"
"91983DT","37921","02/24/2021"
"91984DT","37915","02/24/2021"
"91985DT","37915","02/24/2021"
"91986DT","37915","02/24/2021"
"91987DT","37918","02/24/2021"
"91988DT","37923",NA
"91989DT","37923","02/23/2021"
"91990DT","37923","02/23/2021"
"91991DT","37922","02/24/2021"
"91992DT","37923","02/24/2021"
"91993DT",NA,NA
"URKHARDT","37915","02/01/2021"
"91994DT","37912","02/24/2021"
"91995DT","37915","02/24/2021"
"91996DT","37912","02/24/2021"
"91997DT","37912","02/24/2021"
"91998DT","37914","02/24/2021"
"91999DT","37920","02/24/2021"
"92000DT","37912","02/25/2021"
"92001DT","37931","02/25/2021"
"92002DT","37931","02/25/2021"
"92003DT","37920","02/25/2021"
"92004DT","37912","02/25/2021"
"92005DT","37912","02/25/2021"
"92006DT","37916","02/25/2021"
"92007DT","37918","03/01/2021"
"92008DT","37918","02/25/2021"
"92009DT","37912","02/25/2021"
"92010DT","37912","02/25/2021"
"92011DT","37912","02/25/2021"
"92012DT","37931","02/25/2021"
"92013DT","37917","02/25/2021"
"92014DT","37721","02/26/2021"
"92015DT","37919","02/26/2021"
"92016DT","37918","02/26/2021"
"92017DT","37920","02/26/2021"
"92018DT","37716","02/26/2021"
"92019DT","37763","02/26/2021"
"92020DT","37921","02/26/2021"
"92021DT","37920","02/26/2021"
"92022DT","37921","02/26/2021"
"92023DT","37921","02/26/2021"
"92024DT","37915","02/26/2021"
"92025DT","37915","02/26/2021"
"92026DT","37915","02/26/2021"
"92027DT","37919","02/26/2021"
"92028DT",NA,NA
"ROCHARDT","37934","03/01/2021"
"92029DT","37825","03/01/2021"
"92030DT","37914","03/01/2021"
"92031DT","37921","03/02/2021"
"92032DT","37914","03/02/2021"
"92033DT","37912","03/02/2021"
"92034DT","37909","03/02/2021"
"92035DT","37777","03/02/2021"
"92036DT","37915","03/02/2021"
"92037DT","37915","03/02/2021"
"92038DT","37915","03/02/2021"
"92039DT","37915","03/02/2021"
"92040DT","37915","03/02/2021"
"92041DT","37915","03/02/2021"
"92042DT","37915","03/02/2021"
"92043DT","37915","03/02/2021"
"92044DT","37919","03/03/2021"
"92045DT","37920","03/03/2021"
"92046DT","37919","03/03/2021"
"92047DT","37916","03/03/2021"
"92048DT","37918","03/03/2021"
"92049DT","37909","03/03/2021"
"92050DT","37909","03/03/2021"
"92051DT","37909","02/01/2021"
"92052DT","37923","03/03/2021"
"92053DT","37920","03/03/2021"
